category,product,images,category_slug,product_slug
威士忌,詩貝總裁雪莉,sbzzsh.png,whisky,sbzzsh
威士忌,蘇格登12年亞洲版(700ml),sgd12as-700.png,whisky,sgd12as-700
威士忌,蘇格登12年亞洲版(1000ml),sgd12as-1000.png,whisky,sgd12as-1000
威士忌,蘇格登12年雪莉桶,sgd12sh.png,whisky,sgd12sh
威士忌,蘇格登12年歐洲版(700ml),sgd12eu-700.png,whisky,sgd12eu-700
威士忌,蘇格登12年歐洲版(1000ml),sgd12eu-1000.png,whisky,sgd12eu-1000
威士忌,蘇格登15年亞洲版,sgd15as.png,whisky,sgd15as
威士忌,蘇格登13年貴腐甜酒桶,sgd13nf.png,whisky,sgd13nf
威士忌,Johnnie walker XR 21年,jwxr21.png,whisky,jwxr21
威士忌,Johnnie walker金牌威士忌,jwgd.png,whisky,jwgd
威士忌,Johnnie walker黑牌12年（1000ml）,jwbp12-1000.png,whisky,jwbp12-1000
威士忌,Johnnie walker綠牌15年,jwgp15.png,whisky,jwgp15
威士忌,Johnnie walker黑牌12年（700ml）,jwbp12-700.png,whisky,jwbp12-700
威士忌,慕赫12年,mh12.png,whisky,mh12
威士忌,慕赫14年,mh14.png,whisky,mh14
威士忌,慕赫16年,mh16.png,whisky,mh16
日本酒,季威士忌(700ml),jws-700.png,japanese_sake,jws-700
日本酒,季威士忌(1000ml),jws-1000.png,japanese_sake,jws-1000
日本酒,三得利角瓶,stjb.png,japanese_sake,stjb
韓式燒酒,初飲初樂原味燒酒,cycl-o.png,korean_soju,cycl-o
韓式燒酒,初飲初樂水蜜桃燒酒,cycl-p.png,korean_soju,cycl-p
韓式燒酒,初飲初樂蘋果燒酒,cycl-a.png,korean_soju,cycl-a
韓式燒酒,初飲初樂零醣燒酒,cycl-z.png,korean_soju,cycl-z
韓式燒酒,初飲初樂草莓燒酒,cycl-s.png,korean_soju,cycl-s
韓式燒酒,初飲初樂養樂多燒酒,cycl-y.png,korean_soju,cycl-y
桶裝生啤酒,金牌台灣啤酒,tpb.png,keg_beer,tpb
桶裝生啤酒,柏克金德式小麥生啤酒,bkjwm.png,keg_beer,bkjwm
桶裝生啤酒,柏克金黃金拉格生啤酒,bkjwm.png,keg_beer,bkjgl
桶裝生啤酒,日系啤酒,jpb2.png,keg_beer,jpb
大玻璃瓶啤酒,百威啤酒,bd.png,beer_bottles_big,bd
大玻璃瓶啤酒,金樽啤酒,jzb.png,beer_bottles_big,jzb
大玻璃瓶啤酒,雪山啤酒,ssb.png,beer_bottles_big,ssb
大玻璃瓶啤酒,可樂娜啤酒,cln.png,beer_bottles_big,cln
大玻璃瓶啤酒,BAR啤酒,barb.png,beer_bottles_big,barb
大玻璃瓶啤酒,麒麟一番搾,qlyfz.png,beer_bottles_big,qlyfz
大玻璃瓶啤酒,金牌啤酒含退瓶,jpb-r.png,beer_bottles_big,jpb-r
大玻璃瓶啤酒,台灣啤酒含退箱瓶,twb-r.png,beer_bottles_big,twb-r
大玻璃瓶啤酒,18天生啤酒含退箱瓶,18d-r.png,beer_bottles_big,18d-r
大玻璃瓶啤酒,沖繩Orion啤酒,orion.png,beer_bottles_big,orion
大玻璃瓶啤酒,海尼根啤酒,hnk.png,beer_bottles_big,hnk
大玻璃瓶啤酒,惠比壽啤酒,ybs.png,beer_bottles_big,ybs
大玻璃瓶啤酒,柏克金黃金拉格,bkgl.png,beer_bottles_big,bkgl
大玻璃瓶啤酒,柏克金德式小麥,bkwm.png,beer_bottles_big,bkwm
大玻璃瓶啤酒,柏克金科龍,bkkl.png,beer_bottles_big,bkkl
大玻璃瓶啤酒,台灣特釀黑啤酒,twspb.png,beer_bottles_big,twspb
大玻璃瓶啤酒,三得利啤酒,stlb.png,beer_bottles_big,stlb
大玻璃瓶啤酒,朝日啤酒,asb.png,beer_bottles_big,asb
小玻璃瓶啤酒,百威啤酒,bd.png,beer_bottles_small,bd
小玻璃瓶啤酒,金尊啤酒,jzun.png,beer_bottles_small,jzun
小玻璃瓶啤酒,可樂娜啤酒,cln.png,beer_bottles_small,cln
小玻璃瓶啤酒,麒麟BAR啤酒,qlbar.png,beer_bottles_small,qlbar
小玻璃瓶啤酒,海尼根啤酒,hnk.png,beer_bottles_small,hnk
小玻璃瓶啤酒,金牌啤酒,jpb.png,beer_bottles_small,jpb
易開罐啤酒,百威啤酒,bd2.png,beer_cans,bd
易開罐啤酒,百威金尊,bdg.png,beer_cans,bdg
易開罐啤酒,麒麟BAR啤酒,qlbar.png,beer_cans,qlbar
易開罐啤酒,麒麟一番搾啤酒,qlyfzb.png,beer_cans,qlyfzb
易開罐啤酒,可樂娜啤酒,cln.png,beer_cans,cln
易開罐啤酒,麒麟淡麗啤酒,qldl.png,beer_cans,qldl
易開罐啤酒,金牌啤酒,jpb.png,beer_cans,jpb
易開罐啤酒,台灣啤酒,twb.png,beer_cans,twb
易開罐啤酒,18天生啤酒,18d.png,beer_cans,18d
易開罐啤酒,雪山啤酒,ssb.png,beer_cans,ssb
易開罐啤酒,海尼根啤酒,hnk2.png,beer_cans,hnk
易開罐啤酒,麒麟冰結9%(300ml),qlbj9-300.png,beer_cans,qlbj9-300
易開罐啤酒,柏克金德式小麥,bkwm.png,beer_cans,bkwm
易開罐啤酒,柏克金黃金拉格,bkgl.png,beer_cans,bkgl
易開罐啤酒,柏克金科龍,bkkl2.png,beer_cans,bkkl
易開罐啤酒,惠比壽啤酒,ybs.png,beer_cans,ybs
易開罐啤酒,麒麟冰結5%,qlbj5.png,beer_cans,qlbj5
易開罐啤酒,麒麟冰結7%(500ml),qlbj7-500.png,beer_cans,qlbj7-500
易開罐啤酒,麒麟冰結9%(500ml),qlbj9-500.png,beer_cans,qlbj9-500
水,台鹽鹼性離子水(850ml),tyalk-850.png,water,tyalk-850
水,台鹽鹼性離子水(1500ml),tyalk-1500.png,water,tyalk-1500
水,悅氏純淨水,ysw.png,water,ysw
水,黑松純水,hscw.png,water,hscw
水,埔里大水,plw-l.png,water,plw-l
水,埔里小水,plw-s.png,water,plw-s
1公升飲料,昭憲鮮茶極品金萱,zxjc-jx.png,beverage_1L,zxjc-jx
1公升飲料,昭憲鮮茶高山青茶,zxjc-gs.png,beverage_1L,zxjc-gs
1公升飲料,昭憲鮮茶桂花烏龍,zxjc-gh.png,beverage_1L,zxjc-gh
1公升飲料,特調系列蜂蜜檸檬,td-hmlm.png,beverage_1L,td-hmlm
1公升飲料,特調系列冬瓜檸檬,td-dglm.png,beverage_1L,td-dglm
1公升飲料,特調手沖泰奶,td-tm.png,beverage_1L,td-tm
1公升飲料,采冠冷泡茶高山烏龍,cglp-gswl.png,beverage_1L,cglp-gswl
1公升飲料,王家冬瓜檸檬,wj-dglm.png,beverage_1L,wj-dglm
1公升飲料,王家鴉片檸檬,wj-yplm.png,beverage_1L,wj-yplm
1公升飲料,王家伯爵奶茶,wj-bjnt.png,beverage_1L,wj-bjnt
1公升飲料,王家烏龍奶茶,wj-wlnt.png,beverage_1L,wj-wlnt
1公升飲料,愛之味分解茶,awfjc.png,beverage_1L,awfjc
1公升飲料,美粒果柳橙汁,mlg-oc.png,beverage_1L,mlg-oc
1公升飲料,美粒果白葡萄汁,mlg-wg.png,beverage_1L,mlg-wg
1公升飲料,冷翠日式綠茶,lcrsgt.png,beverage_1L,lcrsgt
1公升飲料,原翠日式綠茶,ycrsgt.png,beverage_1L,ycrsgt
1公升飲料,愛之味麥仔茶,awmzc.png,beverage_1L,awmzc
1公升飲料,悅氏芭樂汁,ys-glj.png,beverage_1L,ys-glj
1公升飲料,悅氏柳橙汁,ys-ocj.png,beverage_1L,ys-ocj
1公升飲料,悅氏油切綠茶,ys-yqgt.png,beverage_1L,ys-yqgt
1公升飲料,悅氏烏梅汁,ys-wmj.png,beverage_1L,ys-wmj
1公升飲料,優纖沛蔓越莓,yxp-crb.png,beverage_1L,yxp-crb
1公升飲料,悅氏梅子綠茶,ys-mzgt.png,beverage_1L,ys-mzgt
1公升飲料,悅式油切烏龍,ys-yqwl.png,beverage_1L,ys-yqwl
1公升飲料,每朝健康綠茶,mcjkgt.png,beverage_1L,mcjkgt
1公升飲料,香吉士芭樂汁,xjs-glj.png,beverage_1L,xjs-glj
1公升飲料,大苑子仙草甘茶,dyz-xcgc.png,beverage_1L,dyz-xcgc
1公升飲料,泰山冰鎮紅茶,ts-bzht.png,beverage_1L,ts-bzht
1公升飲料,老北京酸梅湯,lbj-smt.png,beverage_1L,lbj-smt
1公升飲料,可爾必思水語,kebs-sy2.png,beverage_1L,kebs-sy
1公升飲料,愛蘋果蘋果飲料,apg.png,beverage_1L,apg
小寶特飲料,大西洋蘋果西打,dxy-pgsd.png,beverage_PET_small,dxy-pgsd
小寶特飲料,維他露大蘋果蘇打,wdl-pgs.png,beverage_PET_small,wdl-pgs
小寶特飲料,可口可樂,coke.png,beverage_PET_small,coke
小寶特飲料,雪碧,sprite.png,beverage_PET_small,sprite
小寶特飲料,黑松沙士,hsss.png,beverage_PET_small,hsss
小寶特飲料,美粒果柳橙汁,mlg-oc2.png,beverage_PET_small,mlg-oc
小寶特飲料,美粒果白葡萄汁,mlg-wg2.png,beverage_PET_small,mlg-wg
小寶特飲料,茶裏王日式綠茶,clw-rsgt.png,beverage_PET_small,clw-rsgt
小寶特飲料,茶裏王台式綠茶,clw-tsgt.png,beverage_PET_small,clw-tsgt
小寶特飲料,大苑子蘋果氣泡醋飲,dyz-pgqpc.png,beverage_PET_small,dyz-pgqpc
小寶特飲料,泰山冰鎮紅水果茶,ts-hsgc.png,beverage_PET_small,ts-hsgc
小寶特飲料,光泉冷泡茶,gq-lpc.png,beverage_PET_small,gq-lpc
小寶特飲料,愛之味麥仔茶,awmzc2.png,beverage_PET_small,awmzc
小寶特飲料,古道梅子百香綠茶,gd-mzbxgt.png,beverage_PET_small,gd-mzbxgt
小寶特飲料,每朝健康綠茶,mcjkgt.png,beverage_PET_small,mcjkgt
小寶特飲料,統一麥香奶茶,tymx-nt.png,beverage_PET_small,tymx-nt
小寶特飲料,統一麥香紅茶,tymx-ht.png,beverage_PET_small,tymx-ht
小寶特飲料,舒跑,supau.png,beverage_PET_small,supau
小寶特飲料,猛將仙草蜜,mj-xcm.png,beverage_PET_small,mj-xcm
小寶特飲料,猛將椰子水,mj-yzs.png,beverage_PET_small,mj-yzs
小寶特飲料,原翠日式綠茶,ycrsgt2.png,beverage_PET_small,ycrsgt
小寶特飲料,原翠烏龍茶,yc-wlt2.png,beverage_PET_small,yc-wlt
小寶特飲料,礦沛氣泡水,kpqps.png,beverage_PET_small,kpqps
小寶特飲料,飛想檸檬紅茶,fx-lmht2.png,beverage_PET_small,fx-lmht
小寶特飲料,花傳皇家奶茶,hc-hjnt.png,beverage_PET_small,hc-hjnt
小寶特飲料,花傳皇家紅茶,hc-hjht.png,beverage_PET_small,hc-hjht
易開罐飲料,可口可樂,coke.png,beverage_cans,coke
易開罐飲料,雪碧,sprite.png,beverage_cans,sprite
易開罐飲料,可爾必思水語,kebs-sy.png,beverage_cans,kebs-sy
易開罐飲料,黑松沙士,hsss.png,beverage_cans,hsss
易開罐飲料,維大力,wdl.png,beverage_cans,wdl
易開罐飲料,新蠻牛,xmn.png,beverage_cans,xmn
易開罐飲料,舒跑,supau.png,beverage_cans,supau
易開罐飲料,伯朗咖啡,blcf.png,beverage_cans,blcf
易開罐飲料,伯朗藍山咖啡,blls.png,beverage_cans,blls
易開罐飲料,阿薩姆奶茶,asmnt.png,beverage_cans,asmnt
易開罐飲料,親親蘆筍汁,qqlsz.png,beverage_cans,qqlsz
易開罐飲料,舒味思蘇打汽水,sws-sd.png,beverage_cans,sws-sd
易開罐飲料,舒味思通寧汽水,sws-tn.png,beverage_cans,sws-tn
易開罐飲料,舒味思薑汁汽水,sws-jz.png,beverage_cans,sws-jz
易開罐飲料,半天水椰子100%,bts-yz100.png,beverage_cans,bts-yz100
易開罐飲料,半天水椰子30%,bts-yz100.png,beverage_cans,bts-yz30
易開罐飲料,綠之鄉蘆薈蜜,lzx-lhm.png,beverage_cans,lzx-lhm
易開罐飲料,天然蜂蜜蘆薈,tr-hmlh.png,beverage_cans,tr-hmlh
易開罐飲料,紅牛RED BULL,rb.png,beverage_cans,rb
易開罐飲料,魔爪能量飲料,monster.png,beverage_cans,monster
玻璃瓶飲料,可口可樂,coke.png,beverage_bottles,coke
玻璃瓶飲料,雪碧,sprite.png,beverage_bottles,sprite
玻璃瓶飲料,美粒果清果汁柳橙,mlg-qgzoc.png,beverage_bottles,mlg-qgzoc
玻璃瓶飲料,美粒果清果汁蘋果,mlg-qgzpg.png,beverage_bottles,mlg-qgzpg
玻璃瓶飲料,芬達橘子汽水,fanta-org.png,beverage_bottles,fanta-org
玻璃瓶飲料,飛想檸檬紅茶,fx-lmht.png,beverage_bottles,fx-lmht
鋁箔包飲料,麥香紅茶,mxht.png,beverage_carton,mxht
鋁箔包飲料,麥香奶茶,mxnt.png,beverage_carton,mxnt
鋁箔包飲料,波蜜蘆筍汁,boomi-asparagus-juice.png,beverage_carton,boomi-asparagus-juice
鋁箔包飲料,波蜜葡萄蘋果汁,boomi-grape-apple-juice.png,beverage_carton,boomi-grape-apple-juice
鋁箔包飲料,舒跑,supau-sports-drink.png,beverage_carton,supau-sports-drink
鋁箔包飲料,統一蜜豆奶,uni-honey-soymilk.png,beverage_carton,uni-honey-soymilk
鋁箔包飲料,波蜜初銘紅茶,boomi-early-black-tea.png,beverage_carton,boomi-early-black-tea
鋁箔包飲料,波蜜小果汁系列,boomi-mini-juice-series.png,beverage_carton,boomi-mini-juice-series
紅酒/氣泡酒,澳洲袋鼠紅卡貝納蘇維翁,kangaroo-au-cabernet-red.png,wine,kangaroo-au-cabernet-red
紅酒/氣泡酒,澳洲袋鼠黃喜若紅葡萄,kangaroo-au-yellow-shiraz.png,wine,kangaroo-au-yellow-shiraz
紅酒/氣泡酒,澳洲袋鼠橘梅洛紅葡萄,kangaroo-au-orange-merlot.png,wine,kangaroo-au-orange-merlot
紅酒/氣泡酒,澳洲彼得利蒙巴羅莎喜諾,petrelimon-barossa-shiraz.png,wine,petrelimon-barossa-shiraz
紅酒/氣泡酒,澳洲彼得利蒙巴羅莎格納西,petrelimon-barossa-grenache.png,wine,petrelimon-barossa-grenache
紅酒/氣泡酒,澳洲彼得利蒙巴羅莎卡貝納,petrelimon-barossa-cabernet.png,wine,petrelimon-barossa-cabernet
紅酒/氣泡酒,澳洲袋鼠特藏卡貝納威士忌桶,kangaroo-au-cabernet-whisky-barrel.png,wine,kangaroo-au-cabernet-whisky-barrel
紅酒/氣泡酒,澳洲彼得利蒙寶翠卡貝納蘇維翁紅葡萄酒,petrelimon-cabernet-sauvignon-reserve.png,wine,petrelimon-cabernet-sauvignon-reserve
紅酒/氣泡酒,澳洲彼得利蒙旗艦喜若紅葡萄酒,petrelimon-shiraz-flagship.png,wine,petrelimon-shiraz-flagship
紅酒/氣泡酒,智利聖塔VSC頂級紅葡萄酒,santa-vsc-premium-red-cl.png,wine,santa-vsc-premium-red-cl
紅酒/氣泡酒,台灣艾利冰鎮玫瑰紅酒,airy-tw-rose-wine.png,wine,airy-tw-rose-wine
紅酒/氣泡酒,西班牙柯提紅葡萄酒,spain-corti-red-wine.png,wine,spain-corti-red-wine
紅酒/氣泡酒,法國蒙聖傑AOP紅葡萄酒,fr-montstjean-aop-red.png,wine,fr-montstjean-aop-red
紅酒/氣泡酒,西班牙小紅帽奧蘭酒千紅葡萄酒,spain-red-cap-oran-wine.png,wine,spain-red-cap-oran-wine
紅酒/氣泡酒,法國波爾多莊園瑞夢湖AOP,bordeaux-raymond-lake-aop.png,wine,bordeaux-raymond-lake-aop
紅酒/氣泡酒,智利三輪車卡本內頂級,chile-tricycle-cabernet.png,wine,chile-tricycle-cabernet
紅酒/氣泡酒,義大利博特酒莊巧藝復古16紅酒,italy-botte-vintage-red-16.png,wine,italy-botte-vintage-red-16
紅酒/氣泡酒,阿根廷黃金貝殼卡貝納蘇維翁,arg-gold-shell-cabernet.png,wine,arg-gold-shell-cabernet
紅酒/氣泡酒,阿根廷黃金貝殼特藏卡貝納蘇維翁,arg-gold-shell-reserve-cabernet.png,wine,arg-gold-shell-reserve-cabernet
紅酒/氣泡酒,義大利蒂芬妮月光寶麝香氣泡酒,tiffany-moonlight-muscat-sparkling.png,wine,tiffany-moonlight-muscat-sparkling
紅酒/氣泡酒,西班牙三得利朵莉卡氣泡酒(白)慕斯,suntory-dorika-sparkling-white.png,wine,suntory-dorika-sparkling-white
紅酒/氣泡酒,澳洲袋鼠粉紅(白)慕斯卡葡萄酒,kangaroo-pink-muscat-sparkling.png,wine,kangaroo-pink-muscat-sparkling
日本酒,黑松白鹿鋁箔包清酒,heisong-bailu-tetra-sake.png,japanese_sake,heisong-bailu-tetra-sake
日本酒,黑松白鹿玻璃瓶清酒,heisong-bailu-glass-sake.png,japanese_sake,heisong-bailu-glass-sake
日本酒,黑松白鹿一口杯清酒,heisong-bailu-cup-sake.png,japanese_sake,heisong-bailu-cup-sake
日本酒,黑松白鹿鮮榨清酒,heisong-bailu-fresh-pressed-sake.png,japanese_sake,heisong-bailu-fresh-pressed-sake
日本酒,黑松白鹿純米糯米四段仕入,heisong-bailu-junmai-four-step.png,japanese_sake,heisong-bailu-junmai-four-step
日本酒,黑松白鹿慶祝清酒,heisong-bailu-celebration-sake.png,japanese_sake,heisong-bailu-celebration-sake
日本酒,黑松白鹿純米吟釀,heisong-bailu-junmai-ginjo.png,japanese_sake,heisong-bailu-junmai-ginjo
日本酒,黑松白鹿特別本釀造山田錦,heisong-bailu-honjozo-yamada.png,japanese_sake,heisong-bailu-honjozo-yamada
日本酒,黑松白鹿吟釀生貯藏,heisong-bailu-ginjo-nama.png,japanese_sake,heisong-bailu-ginjo-nama
日本酒,片野櫻純米吟釀,katano-sakura-junmai-ginjo.png,japanese_sake,katano-sakura-junmai-ginjo
日本酒,泡湯後吟釀,onsen-after-ginjo.png,japanese_sake,onsen-after-ginjo
日本酒,溫泉後爽冷酒,onsen-refresh-cold-sake.png,japanese_sake,onsen-refresh-cold-sake
日本酒,月桂冠復古瓶,gekkeikan-retro-bottle.png,japanese_sake,gekkeikan-retro-bottle
日本酒,月桂冠黑,gekkeikan-black.png,japanese_sake,gekkeikan-black
日本酒,月桂冠紅,gekkeikan-red.png,japanese_sake,gekkeikan-red
日本酒,國士無雙,kokushimusou-sake.png,japanese_sake,kokushimusou-sake
日本酒,小西冷榨大吟釀,konishi-cold-pressed-daiginjo.png,japanese_sake,konishi-cold-pressed-daiginjo
日本酒,小西冷榨吟釀,konishi-cold-pressed-ginjo.png,japanese_sake,konishi-cold-pressed-ginjo
日本酒,玉極閣本閣燒酎,yuji-ge-shochu.png,japanese_sake,yuji-ge-shochu
日本酒,八海山特別純米,hakaisan-special-junmai.png,japanese_sake,hakaisan-special-junmai
日本酒,八海山特別本釀造,hakaisan-honjozo.png,japanese_sake,hakaisan-honjozo
日本酒,知多威士忌,chita-whisky.png,japanese_sake,chita-whisky
日本酒,起瓦士威士忌,chivas-whisky.png,japanese_sake,chivas-whisky
日本酒,獺祭迷你組合,dassai-mini-set.png,japanese_sake,dassai-mini-set
日本酒,獺祭二割三,dassai-23.png,japanese_sake,dassai-23
日本酒,獺祭三割九,dassai-39.png,japanese_sake,dassai-39
日本酒,獺祭四割五,dassai-45.png,japanese_sake,dassai-45
調酒用酒,冷泉伏特加原味/多種口味,freezing-spring-vodka.png,cocktail_base,freezing-spring-vodka
調酒用酒,ABS絕對伏特加,absolut-vodka.png,cocktail_base,absolut-vodka
調酒用酒,思美洛伏特加,smirnoff-vodka.png,cocktail_base,smirnoff-vodka
調酒用酒,冰火伏特加多種口味,icefire-vodka.png,cocktail_base,icefire-vodka
調酒用酒,英人琴酒,beefeater-gin.png,cocktail_base,beefeater-gin
調酒用酒,六角琴酒,roku-gin.png,cocktail_base,roku-gin
調酒用酒,龍舌蘭金快活,tequila-gold-kinkatsu.png,cocktail_base,tequila-gold-kinkatsu
調酒用酒,百家得蘭姆酒,bacardi-rum.png,cocktail_base,bacardi-rum
調酒用酒,德國野格利口酒,jagermeister.png,cocktail_base,jagermeister
調酒用酒,生命之水80%,spirytus-80.png,cocktail_base,spirytus-80
調酒用酒,生命之水96%,spirytus-96.png,cocktail_base,spirytus-96
調酒用酒,MB香甜酒多種口味,mb-liqueur-mix.png,cocktail_base,mb-liqueur-mix
調酒用酒,萊姆汁,lime-juice.png,cocktail_base,lime-juice
調酒用酒,貝禮詩香甜奶酒,baileys-irish-cream.png,cocktail_base,baileys-irish-cream
調酒用酒,卡魯哇咖啡香甜酒,kahlua-coffee-liqueur.png,cocktail_base,kahlua-coffee-liqueur
調酒用酒,三得利蜜瓜甜酒,suntory-melon-liqueur.png,cocktail_base,suntory-melon-liqueur
調酒用酒,君度橙酒,cointreau-orange-liqueur.png,cocktail_base,cointreau-orange-liqueur
調酒用酒,艾碧斯綠,absinthe-green.png,cocktail_base,absinthe-green
調酒用酒,艾碧斯紅,absinthe-red.png,cocktail_base,absinthe-red
調酒用酒,DITA荔枝酒,dita-lychee-wine.png,cocktail_base,dita-lychee-wine
水果/果實酒,鮮爽水蜜桃酒,refresh-peach-wine.png,fruit_wine,refresh-peach-wine
水果/果實酒,鮮爽蘋果水蜜桃酒,refresh-apple-peach-wine.png,fruit_wine,refresh-apple-peach-wine
水果/果實酒,梅乃宿柚子酒(300ml),umenoyado-yuzu-300.png,fruit_wine,umenoyado-yuzu-300
水果/果實酒,梅乃宿柚子酒(720ml),umenoyado-yuzu-720.png,fruit_wine,umenoyado-yuzu-720
水果/果實酒,梅乃宿柚子酒(1800ml),umenoyado-yuzu-1800.png,fruit_wine,umenoyado-yuzu-1800
水果/果實酒,白鶴柚子酒,hakutsuru-yuzu.png,fruit_wine,hakutsuru-yuzu
水果/果實酒,白鶴梅酒原酒,hakutsuru-umeshu-raw.png,fruit_wine,hakutsuru-umeshu-raw
水果/果實酒,山崎焙煎樽梅酒,yamazaki-barrel-umeshu.png,fruit_wine,yamazaki-barrel-umeshu
水果/果實酒,大關完熟梅酒,ozeki-fully-ripe-umeshu.png,fruit_wine,ozeki-fully-ripe-umeshu
水果/果實酒,八鹿酒藏酒藏梅酒,yatsushika-umeshu.png,fruit_wine,yatsushika-umeshu
水果/果實酒,CHOYA梅酒兩粒梅,choya-umeshu-two-plum.png,fruit_wine,choya-umeshu-two-plum
水果/果實酒,CHOYA梅酒迷你梅,choya-umeshu-mini.png,fruit_wine,choya-umeshu-mini
水果/果實酒,CHOYA本格梅,choya-hon-umeshu.png,fruit_wine,choya-hon-umeshu
水果/果實酒,日本松井白蘭地梅酒,matsui-brandy-umeshu.png,fruit_wine,matsui-brandy-umeshu
水果/果實酒,日本松井威士忌梅酒,matsui-whisky-umeshu.png,fruit_wine,matsui-whisky-umeshu
